method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.7797394965142034,0.014992254386321902,0.7797394965142034,0.7797394965142034,0.001,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.7777334395955829,0.009019147120637339,0.7777334395955829,0.7777334395955829,0.001,1.991165740762003,4.2333466349297045e-05,0.0011293853537124698
ours,local_var_topk_017,local_var_topk,2,0.7769116061151573,0.0008412626333705875,0.7769116061151573,0.7769116061151573,0.001,2.0,4.2333466e-05,0.011129385354
ours,coord_04_anchor,coord:method.ours.lambda_align,2,0.7760910715754608,0.0018365204277319136,0.7760910715754608,0.7760910715754608,0.001,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.7758173483246258,0.007108792456044899,0.7758173483246258,0.7758173483246258,0.001,1.1089774084038875,4.2333466349297045e-05,0.0011293853537124698
ours,coord_04_method_ours_lambda_align_005,coord:method.ours.lambda_align,2,0.7751376220731763,0.007269424166584715,0.7751376220731763,0.7751376220731763,2.4309853449390485e-05,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.7744715156844423,0.001319095864524722,0.7744715156844423,0.7744715156844423,0.0012346878339290972,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.7731461003416886,0.009154094020931147,0.7731461003416886,0.7731461003416886,0.001,1.0,4.2333466349297045e-05,0.0011293853537124698
ours,local_var_topk_021,local_var_topk,2,0.772184071273381,0.0033073172951957885,0.772184071273381,0.772184071273381,0.001,1.883381917401,8.4666933e-05,0.0
ours,local_var_topk_010,local_var_topk,2,0.7719899987878631,0.006258438200722083,0.7719899987878631,0.7719899987878631,0.001,1.583381917401,4.2333466e-05,0.001129385354
ours,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.7719506059136009,0.008429062372693363,0.7719506059136009,0.7719506059136009,0.001,1.0,4.2333466349297045e-05,0.01569929631501374
ours,local_var_topk_020,local_var_topk,2,0.7717774277480334,0.007586471184126642,0.7717774277480334,0.7717774277480334,0.001,1.583381917401,8.4666933e-05,0.011129385354
ours,coord_01_train_lr_006,coord:train.lr,2,0.7709564557333882,0.013702803945971898,0.7709564557333882,0.7709564557333882,0.001,1.0,4.2333466349297045e-05,0.0
ours,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7705488528218882,0.02105561844373799,0.7705488528218882,0.7705488528218882,0.001,1.0,4.2333466349297045e-05,0.03438558910465587
ours,coord_04_method_ours_lambda_align_009,coord:method.ours.lambda_align,2,0.7704335749478317,0.008574788763905161,0.7704335749478317,0.7704335749478317,0.00027088063293043466,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_03_anchor,coord:train.grad_clip,2,0.7700625612552876,0.011367282928363975,0.7700625612552876,0.7700625612552876,0.001,1.0,4.2333466349297045e-05,0.0011293853537124698
ours,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.7700131686436967,0.007047448918459431,0.7700131686436967,0.7700131686436967,0.001,0.8112607949285354,4.2333466349297045e-05,0.0011293853537124698
ours,local_var_topk_000,local_var_topk,2,0.7699467605360626,0.0007205510202214493,0.7699467605360626,0.7699467605360626,0.001,1.583381917401,2.1166733e-05,0.0
ours,coord_04_method_ours_lambda_align_002,coord:method.ours.lambda_align,2,0.7697397148806213,0.004168846244749391,0.7697397148806213,0.7697397148806213,0.0002878913241153341,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.7694149884542743,0.01915020167048964,0.7694149884542743,0.7694149884542743,0.001,1.0,4.2333466349297045e-05,0.04811190452922659
ours,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.769111149965785,0.014993981802859657,0.769111149965785,0.769111149965785,0.001,1.0,4.2333466349297045e-05,0.03802613486924597
ours,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7685485332003773,0.0010957057862049924,0.7685485332003773,0.7685485332003773,0.001,1.0,4.2333466349297045e-05,0.022941220984173272
ours,local_var_topk_016,local_var_topk,2,0.7684119568039176,0.012961654234844966,0.7684119568039176,0.7684119568039176,0.001,2.0,4.2333466e-05,0.001129385354
ours,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7679357234544623,0.006855956316119682,0.7679357234544623,0.7679357234544623,0.001,1.7645117906944783,4.2333466349297045e-05,0.0011293853537124698
ours,coord_02_anchor,coord:train.weight_decay,2,0.7674408972105218,0.01911680313796099,0.7674408972105218,0.7674408972105218,0.001,1.0,4.2333466349297045e-05,0.0
ours,local_var_topk_018,local_var_topk,2,0.766728207177428,0.0030317696414162154,0.766728207177428,0.766728207177428,0.001,1.583381917401,8.4666933e-05,0.0
ours,coord_04_method_ours_lambda_align_004,coord:method.ours.lambda_align,2,0.7658428509568658,0.000530262989251018,0.7658428509568658,0.7658428509568658,0.0003739085202872783,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.7647396650465945,0.004577467849166239,0.7647396650465945,0.7647396650465945,0.001,1.0,4.2333466349297045e-05,0.0028208780978024373
ours,local_var_topk_024,local_var_topk,2,0.7641708051740377,0.008493148332518408,0.7641708051740377,0.7641708051740377,0.001,2.0,8.4666933e-05,0.0
ours,local_var_topk_003,local_var_topk,2,0.7640601148475092,0.002365380280806073,0.7640601148475092,0.7640601148475092,0.001,1.883381917401,2.1166733e-05,0.0
ours,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.7632057766388666,0.0142668984285369,0.7632057766388666,0.7632057766388666,0.001,1.0,4.2333466349297045e-05,0.031129456560456282
ours,coord_04_method_ours_lambda_align_008,coord:method.ours.lambda_align,2,0.763163590178606,0.01788493960501686,0.763163590178606,0.763163590178606,0.00013289491787351013,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,local_var_topk_013,local_var_topk,2,0.7621435996149069,0.012348828280749069,0.7621435996149069,0.7621435996149069,0.001,1.883381917401,4.2333466e-05,0.001129385354
ours,local_var_topk_014,local_var_topk,2,0.7619659335830958,0.020225333866093043,0.7619659335830958,0.7619659335830958,0.001,1.883381917401,4.2333466e-05,0.011129385354
ours,coord_01_train_lr_003,coord:train.lr,2,0.7613112490001122,0.006715594501961297,0.7613112490001122,0.7613112490001122,0.001,1.0,5.7311085087922365e-05,0.0
ours,coord_04_method_ours_lambda_align_007,coord:method.ours.lambda_align,2,0.7612255967910374,0.009106633665761477,0.7612255967910374,0.7612255967910374,0.00034819237895551436,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.7606639070732508,0.011671005498201603,0.7606639070732508,0.7606639070732508,0.001,0.6513832929507756,4.2333466349297045e-05,0.0011293853537124698
ours,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.759694521864704,0.021051049721437842,0.759694521864704,0.759694521864704,0.001,1.0,4.2333466349297045e-05,0.025761370357300944
ours,coord_04_method_ours_lambda_align_000,coord:method.ours.lambda_align,2,0.7595624405435285,0.018154983287496984,0.7595624405435285,0.7595624405435285,0.0002085502774794116,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_04_method_ours_lambda_align_003,coord:method.ours.lambda_align,2,0.759230693980507,0.0027715675059771794,0.759230693980507,0.759230693980507,0.0032649501008336626,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,coord_04_method_ours_lambda_align_006,coord:method.ours.lambda_align,2,0.7590398803803042,0.006266354836585719,0.7590398803803042,0.7590398803803042,0.007734370951139792,1.8833819174013477,4.2333466349297045e-05,0.0011293853537124698
ours,local_var_topk_023,local_var_topk,2,0.7590256532653514,0.014018418135039401,0.7590256532653514,0.7590256532653514,0.001,1.883381917401,8.4666933e-05,0.011129385354
ours,coord_01_train_lr_010,coord:train.lr,2,0.7586893738403866,0.002564611705732356,0.7586893738403866,0.7586893738403866,0.001,1.0,2.521629284502662e-05,0.0
ours,coord_01_train_lr_000,coord:train.lr,2,0.7577471448841672,0.01157059705392982,0.7577471448841672,0.7577471448841672,0.001,1.0,2.166929842602531e-05,0.0
ours,local_var_topk_012,local_var_topk,2,0.7566976257489099,0.01123946935933251,0.7566976257489099,0.7566976257489099,0.001,1.883381917401,4.2333466e-05,0.0
ours,local_var_topk_026,local_var_topk,2,0.756678435506106,0.000858070594652649,0.756678435506106,0.756678435506106,0.001,2.0,8.4666933e-05,0.011129385354
