method,expert,score_var,score_mean,score_std
baseline,e0,0.06116787947684517,0.2458832658827305,0.24732140925695287
baseline,e1,0.034329797460777044,0.2397116923239082,0.18528301989328932
baseline,e2,0.130479327204092,0.45225778510794046,0.3612192231929137
baseline,e3,0.06995801426190387,0.36603821655735375,0.264495773618226
cagrad,e0,0.036658967829427694,0.21018201499246061,0.19146531756281004
cagrad,e1,0.06396269880609777,0.34488474266254343,0.25290847911072056
cagrad,e2,0.1859023766840461,0.46208517318591474,0.43116397888047897
cagrad,e3,0.08825105598995568,0.2277611459605396,0.297070792892798
ours,e0,0.06758590480900901,0.6974914513528347,0.2599728924503649
ours,e1,0.09552991815644092,0.39236981701105833,0.3090791454570187
ours,e2,0.028469333455314293,0.15414739544503392,0.16872857924878729
ours,e3,0.003826048044321418,0.05769432742381468,0.061855056740103456
