method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.025889927091066845
baseline,e0,e2,0.02021128145728494
baseline,e0,e3,-0.04539323751397189
baseline,e1,e0,-0.025889927091066845
baseline,e1,e1,1.0
baseline,e1,e2,0.06976549786325385
baseline,e1,e3,-0.0018912752459866796
baseline,e2,e0,0.02021128145728494
baseline,e2,e1,0.06976549786325385
baseline,e2,e2,1.0
baseline,e2,e3,-0.012246408056088618
baseline,e3,e0,-0.04539323751397189
baseline,e3,e1,-0.0018912752459866796
baseline,e3,e2,-0.012246408056088618
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.012584481663769609
cagrad,e0,e2,0.013559386111165101
cagrad,e0,e3,0.009759878225675454
cagrad,e1,e0,0.012584481663769609
cagrad,e1,e1,1.0
cagrad,e1,e2,-0.005633365647594403
cagrad,e1,e3,-0.014460777540698976
cagrad,e2,e0,0.013559386111165101
cagrad,e2,e1,-0.005633365647594403
cagrad,e2,e2,1.0
cagrad,e2,e3,0.011297631047663967
cagrad,e3,e0,0.009759878225675454
cagrad,e3,e1,-0.014460777540698976
cagrad,e3,e2,0.011297631047663967
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.003110645792081778
ours,e0,e2,0.008536584381956933
ours,e0,e3,-0.023516880383647805
ours,e1,e0,0.003110645792081778
ours,e1,e1,1.0
ours,e1,e2,0.03526840504722269
ours,e1,e3,-0.0012943352431381782
ours,e2,e0,0.008536584381956933
ours,e2,e1,0.03526840504722269
ours,e2,e2,1.0
ours,e2,e3,-0.01599272967001832
ours,e3,e0,-0.023516880383647805
ours,e3,e1,-0.0012943352431381782
ours,e3,e2,-0.01599272967001832
ours,e3,e3,1.0
