method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,412.1298054522078,94.90295483717647,0.30933466368771045,0.07395993643429749,2921.92236328125,0.0
cagrad,820.7622336513945,46.423536306625856,0.7263655132430605,0.04026009331463207,2921.92236328125,0.0
ours,656.5587031363975,165.1559604681883,0.5867000836422841,0.15043400775492735,2923.94580078125,0.0
