method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,5,0.7725631768953068,0.011864026516357382,0.752346570397112,0.016716009967928103,0.7624548736462093,0.01145036211346838
ours,5,0.7617328519855595,0.01950795102686831,0.7501805054151625,0.01774470141147221,0.755956678700361,0.01729087366762171
cagrad,5,0.7458483754512635,0.0369291317040994,0.7241877256317689,0.03474717520726632,0.7350180505415163,0.033525449144386724
