method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.7822211622354787,0.7822211622354787,0.7822211622354787,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s2.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s2_curve.csv
baseline,3,0.7791392092093946,0.7791392092093946,0.7791392092093946,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s3.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s3_curve.csv
baseline,5,0.7903643851195733,0.7817585534120771,0.7860614692658252,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s5.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s5_curve.csv
baseline,7,0.8132919939634485,0.8055157989830778,0.8094038964732632,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s7.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s7_curve.csv
baseline,11,0.8094094658999289,0.8094094658999289,0.8094094658999289,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s11.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/baseline_s11_curve.csv
ours,2,0.761007814153048,0.761007814153048,0.761007814153048,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s2.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s2_curve.csv
ours,3,0.7892216756350979,0.7835633813366728,0.7863925284858854,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s3.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s3_curve.csv
ours,5,0.7962702057215848,0.7916629424042047,0.7939665740628947,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s5.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s5_curve.csv
ours,7,0.7854314057817701,0.7854314057817701,0.7854314057817701,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s7.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s7_curve.csv
ours,11,0.8043956330220245,0.8043956330220245,0.8043956330220245,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s11.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r32_lora_e4_k2/final/ours_s11_curve.csv
