method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,-0.13607657920660587
baseline,glue/rte,glue/cola,0.051021589188004125
baseline,glue/mrpc,glue/rte,-0.13607657920660587
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.1163614270928542
baseline,glue/cola,glue/rte,0.051021589188004125
baseline,glue/cola,glue/mrpc,0.1163614270928542
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.007443309650796319
ours,glue/rte,glue/cola,0.07180806178883413
ours,glue/mrpc,glue/rte,-0.007443309650796319
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.1341144301767434
ours,glue/cola,glue/rte,0.07180806178883413
ours,glue/cola,glue/mrpc,0.1341144301767434
ours,glue/cola,glue/cola,1.0
