method,expert,purity_mean,purity_std
baseline,e0,0.7685086131095886,0.0
baseline,e1,0.6505573987960815,0.0
baseline,e2,0.8793805241584778,0.0
baseline,e3,0.9951263070106506,0.0
cagrad,e0,0.7597373127937317,0.0
cagrad,e1,0.6452024579048157,0.0
cagrad,e2,0.9848717451095581,0.0
cagrad,e3,0.4338698089122772,0.0
ours,e0,0.5066934823989868,0.0
ours,e1,0.4444332718849182,0.0
ours,e2,0.5533397793769836,0.0
ours,e3,0.6858397722244263,0.0
