method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,local_var_topk_031,local_var_topk,2,0.7364620938628159,0.01083032490974728,0.7364620938628159,0.7364620938628159,0.011663013105,0.56901752383,1.9805331e-05,0.012627914023
ours,coord_01_train_lr_000,coord:train.lr,2,0.727436823104693,0.027075812274368227,0.727436823104693,0.727436823104693,0.001,1.0,1.980533106888655e-05,0.01
ours,local_var_topk_046,local_var_topk,2,0.7256317689530687,0.01083032490974728,0.7256317689530687,0.7256317689530687,0.011663013105,1.16901752383,1.9805331e-05,0.002627914023
ours,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7256317689530686,0.018050541516245522,0.7256317689530686,0.7256317689530686,0.001,1.0,1.980533106888655e-05,0.012627914022778375
ours,coord_01_train_lr_002,coord:train.lr,2,0.7238267148014441,0.009025270758122705,0.7238267148014441,0.7238267148014441,0.001,1.0,1.535122309096627e-05,0.01
ours,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.720216606498195,0.009025270758122761,0.720216606498195,0.720216606498195,0.001,0.8690175238301865,1.980533106888655e-05,0.012627914022778375
ours,coord_02_train_weight_decay_017,coord:train.weight_decay,2,0.7184115523465704,0.0036101083032490933,0.7184115523465704,0.7184115523465704,0.001,1.0,1.980533106888655e-05,0.04458013788229831
ours,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.7184115523465704,0.0036101083032490933,0.7184115523465704,0.7184115523465704,0.001,1.3976850553319569,1.980533106888655e-05,0.012627914022778375
ours,coord_04_method_ours_lambda_align_005,coord:method.ours.lambda_align,2,0.7184115523465704,0.0036101083032490933,0.7184115523465704,0.7184115523465704,0.011663013105376962,0.8690175238301865,1.980533106888655e-05,0.012627914022778375
ours,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7166064981949458,0.0018050541516245189,0.7166064981949458,0.7166064981949458,0.001,1.0,1.980533106888655e-05,0.01543368425632205
ours,coord_03_anchor,coord:train.grad_clip,2,0.7166064981949458,0.03790613718411551,0.7166064981949458,0.7166064981949458,0.001,1.0,1.980533106888655e-05,0.012627914022778375
ours,coord_03_train_grad_clip_015,coord:train.grad_clip,2,0.7166064981949458,0.0018050541516245189,0.7166064981949458,0.7166064981949458,0.001,0.9314329400046308,1.980533106888655e-05,0.012627914022778375
ours,coord_04_method_ours_lambda_align_008,coord:method.ours.lambda_align,2,0.7166064981949458,0.01985559566787004,0.7166064981949458,0.7166064981949458,0.004572219582090097,0.8690175238301865,1.980533106888655e-05,0.012627914022778375
ours,local_var_topk_050,local_var_topk,2,0.7166064981949458,0.016245487364620947,0.7166064981949458,0.7166064981949458,0.023326026211,1.16901752383,1.9805331e-05,0.012627914023
ours,coord_04_method_ours_lambda_align_003,coord:method.ours.lambda_align,2,0.7148014440433214,0.0,0.7148014440433214,0.7148014440433214,0.0005250238688631986,0.8690175238301865,1.980533106888655e-05,0.012627914022778375
ours,coord_02_train_weight_decay_014,coord:train.weight_decay,2,0.7148014440433212,0.018050541516245466,0.7148014440433212,0.7148014440433212,0.001,1.0,1.980533106888655e-05,0.0439404740209502
