method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,5.196223988197744,0.0,0.5796643448993564,0.0,3927.916015625,0.0
ours,6.14470070367679,0.0,0.8096497757360339,0.0,3728.12158203125,0.0
