method,row,col,value
baseline,glue/sst2,glue/sst2,1.0
baseline,glue/sst2,yelp_polarity,-0.02646610435249914
baseline,glue/sst2,amazon_polarity,-0.11775913250221064
baseline,yelp_polarity,glue/sst2,-0.02646610435249914
baseline,yelp_polarity,yelp_polarity,1.0
baseline,yelp_polarity,amazon_polarity,0.05310059696777149
baseline,amazon_polarity,glue/sst2,-0.11775913250221064
baseline,amazon_polarity,yelp_polarity,0.05310059696777149
baseline,amazon_polarity,amazon_polarity,1.0
ours,glue/sst2,glue/sst2,1.0
ours,glue/sst2,yelp_polarity,0.4669128157173959
ours,glue/sst2,amazon_polarity,0.5314053984063398
ours,yelp_polarity,glue/sst2,0.4669128157173959
ours,yelp_polarity,yelp_polarity,1.0
ours,yelp_polarity,amazon_polarity,0.538065791422027
ours,amazon_polarity,glue/sst2,0.5314053984063398
ours,amazon_polarity,yelp_polarity,0.538065791422027
ours,amazon_polarity,amazon_polarity,1.0
