method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
ours,1,0.53125,0.0,0.53125,0.0,0.53125,0.0
baseline,1,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0
