method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,1,0.5208333333333334,0.5208333333333334,0.5208333333333334,False,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke_min/multi_gpu/appendix/multi_dataset_real/deberta_ffn_e4_k2/final/baseline_s1.json,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke_min/multi_gpu/appendix/multi_dataset_real/deberta_ffn_e4_k2/final/baseline_s1_curve.csv
ours,1,0.53125,0.53125,0.53125,False,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke_min/multi_gpu/appendix/multi_dataset_real/deberta_ffn_e4_k2/final/ours_s1.json,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke_min/multi_gpu/appendix/multi_dataset_real/deberta_ffn_e4_k2/final/ours_s1_curve.csv
