method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,amazon_polarity,amazon_polarity,1,0.46875,0.0,0.6930460408329964,0.0
baseline,glue_sst2,glue/sst2,1,0.5625,0.0,0.6906303912401199,0.0
baseline,yelp_polarity,yelp_polarity,1,0.53125,0.0,0.6910276561975479,0.0
ours,amazon_polarity,amazon_polarity,1,0.46875,0.0,0.6933353245258331,0.0
ours,glue_sst2,glue/sst2,1,0.5625,0.0,0.685719795525074,0.0
ours,yelp_polarity,yelp_polarity,1,0.5625,0.0,0.6851939111948013,0.0
