method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,1,1.0,1.2321706414222717,0.4958059787750244,0.16940176486968994,0.15771956741809845,0.1770726591348648
ours,1,1.0,1.3493525038162868,0.2840658128261566,0.274075448513031,0.1536809653043747,0.2881777584552765
