method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.02422173761816642
baseline,e0,e2,0.00128019303629319
baseline,e0,e3,-0.014154602595780717
baseline,e1,e0,-0.02422173761816642
baseline,e1,e1,1.0
baseline,e1,e2,0.002150674797592067
baseline,e1,e3,-0.011451787817985067
baseline,e2,e0,0.00128019303629319
baseline,e2,e1,0.002150674797592067
baseline,e2,e2,1.0
baseline,e2,e3,-0.01249338425323869
baseline,e3,e0,-0.014154602595780717
baseline,e3,e1,-0.011451787817985067
baseline,e3,e2,-0.01249338425323869
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.06554058422720785
ours,e0,e2,0.028824678296002035
ours,e0,e3,0.05564772666896527
ours,e1,e0,0.06554058422720785
ours,e1,e1,1.0
ours,e1,e2,0.03582411774485029
ours,e1,e3,0.03599663652200134
ours,e2,e0,0.028824678296002035
ours,e2,e1,0.03582411774485029
ours,e2,e2,1.0
ours,e2,e3,0.04058773076907894
ours,e3,e0,0.05564772666896527
ours,e3,e1,0.03599663652200134
ours,e3,e2,0.04058773076907894
ours,e3,e3,1.0
