method,expert,purity_mean,purity_std
baseline,e0,0.46203476190567017,0.0
baseline,e1,0.5068693161010742,0.0
baseline,e2,0.5233104228973389,0.0
baseline,e3,0.47013261914253235,0.0
ours,e0,0.6135809421539307,0.0
ours,e1,0.39096853137016296,0.0
ours,e2,0.44212645292282104,0.0
ours,e3,0.4086964428424835,0.0
