method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coord_03_anchor,coord:method.ours.eps,1,0.6074431084833485,0.0,0.6074431084833485,0.6074431084833485,1e-08,0.001,2e-05
ours,coord_01_anchor,coord:train.lr,1,0.6062037067389163,0.0,0.6062037067389163,0.6062037067389163,1e-08,0.001,2e-05
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.604250128887194,0.0,0.604250128887194,0.604250128887194,1e-08,0.001,2e-05
