method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.4058095281983281,0.0,0.4058095281983281,0.4058095281983281,1e-08,0.001,2e-05
ours,coord_01_anchor,coord:train.lr,1,0.4053759810646167,0.0,0.4053759810646167,0.4053759810646167,1e-08,0.001,2e-05
ours,coord_03_anchor,coord:method.ours.eps,1,0.38530676769694305,0.0,0.38530676769694305,0.38530676769694305,1e-08,0.001,2e-05
