method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6007305707230612,0.3735349178314209,0.60280442237854,0.005458928178995848,0.01820182427763939
baseline,3,1000.0,0.6552922877448576,0.0,0.0,0.3934856951236725,0.6065143346786499
baseline,5,1000.0,0.39073975580847925,0.056570865213871,0.19897057116031647,0.7424842119216919,0.0019741409923881292
baseline,7,1000.0,0.43472548863954014,0.0010547877755016088,0.054820213466882706,0.7020866870880127,0.24203833937644958
baseline,11,1000.0,0.5711181831580622,0.01608414761722088,0.4200802445411682,0.027638329192996025,0.536197304725647
cagrad,2,1000.0,0.5030506932763038,0.21081869304180145,0.6677703261375427,0.1048244833946228,0.016586512327194214
cagrad,3,1000.0,0.4424663801608538,0.052774567157030106,0.012564008124172688,0.132654070854187,0.8020076751708984
cagrad,5,1000.0,0.30863839734552634,0.8819851279258728,0.0036131935194134712,0.078878253698349,0.03552325814962387
cagrad,7,1000.0,0.43964084662083125,0.7644294500350952,0.004989430774003267,0.06945004314184189,0.16113072633743286
cagrad,11,1000.0,0.4280973864305351,0.18438367545604706,0.0005309593980200589,0.027022182941436768,0.7880632877349854
ours,2,1000.0,0.4300820484274515,0.0003809371846728027,0.15106509625911713,0.11603420972824097,0.7325196266174316
ours,3,1000.0,0.6017761865147838,0.0033361748792231083,0.6488924622535706,0.011900515295565128,0.3358709514141083
ours,5,1000.0,0.3092854565216435,0.001455053105019033,0.028033817186951637,0.15980182588100433,0.8107096552848816
ours,7,1000.0,0.5791805392752091,0.5142948627471924,0.3703603744506836,0.0009449735516682267,0.11439944803714752
ours,11,1000.0,0.5816785059869289,0.5894582271575928,0.0006656249170191586,0.02545524574816227,0.3844206631183624
