method,val_acc_mean,val_acc_std,overall_task_conflict_cos_mean,overall_task_conflict_cos_std,avg_intra_expert_coherence_mean,avg_intra_expert_coherence_std,expert_purity_mean_mean,expert_purity_mean_std,expert_diversity_mean_mean,expert_diversity_mean_std,load_cv_mean,load_cv_std,load_max_min_ratio_mean,load_max_min_ratio_std,utilization_ratio_mean,utilization_ratio_std,router_entropy_mean,router_entropy_std,inter_expert_similarity_mean,inter_expert_similarity_std,task_grad_norm_cv_mean,task_grad_norm_cv_std
baseline,0.7927073845230352,0.019625125170103085,0.0947503342596143,0.09616682634020698,0.1876936481379207,0.13010286720231673,0.5570260509848595,0.20583104290303417,0.5218757175231066,0.08679790318060034,1.0510147155103002,0.0836746097197166,121302867172.82724,242605733752.91132,0.5,0.0,0.5305212572148001,0.10085729083334193,0.02423395667610989,0.020832294975358493,0.23568512048086315,0.11075061953252648
cagrad,0.7826100414079167,0.011157174464354536,0.019036049619581365,0.03507104239760798,0.18728064335678027,0.17876115513020926,0.5779636964201927,0.1234171885154335,0.5906820228274156,0.029203501396870852,1.247143141923266,0.1483343310587566,397.1259494056872,548.2943429120922,0.45,0.1,0.42437874076681004,0.06349649770885539,0.031664482875099195,0.036055439916850986,0.30811698791999265,0.0925177957674537
ours,0.7879870676414065,0.014869276252644356,0.08038314690366143,0.06942733412766498,0.20417518043427632,0.11276858608857343,0.5571010947227478,0.16864062364103719,0.5385485601586245,0.08682454121900503,1.0645559081711493,0.16616073726402134,820.8849692055834,592.8143581358592,0.5,0.0,0.5004005473452033,0.11363017481025205,0.029782783507736006,0.02077347707957671,0.3768627617219017,0.11484820229034351
