method,expert,purity_mean,purity_std
baseline,e0,0.49807512760162354,0.44082508230458134
baseline,e1,0.4680850327014923,0.2522170759660606
baseline,e2,0.6904555857181549,0.22579999150744476
baseline,e3,0.5714884579181672,0.22335221107763373
cagrad,e0,0.5094784319400787,0.06389295323488577
cagrad,e1,0.715089988708496,0.39354140259125436
cagrad,e2,0.6864016890525818,0.10106646079268991
cagrad,e3,0.40088467597961425,0.2366724856651662
ours,e0,0.3934059202671051,0.3724891890602652
ours,e1,0.4436967492103577,0.23408197556457883
ours,e2,0.7942517101764679,0.23071714267668658
ours,e3,0.5970499992370606,0.13595307868319878
