method,expert,score_var,score_mean,score_std
baseline,e0,0.019495517085054863,0.10294713291805238,0.1396263481047
baseline,e1,0.05599025229398369,0.2805702015757561,0.23662259463961527
baseline,e2,0.1111613036084395,0.3972345293033868,0.3334086135786529
baseline,e3,0.07275738764727795,0.3189777235267684,0.2697357737625433
cagrad,e0,0.10707579394490876,0.4523307491093874,0.327224378591982
cagrad,e1,0.08063391557853089,0.16750788924400695,0.28396111631441884
cagrad,e2,0.0023123219372092664,0.10551828891038895,0.04808660870979847
cagrad,e3,0.12182465004485155,0.3893345449119806,0.3490338809411653
ours,e0,0.08772080523148613,0.2518732651195023,0.2961769829535815
ours,e1,0.06279021383878516,0.2659534179896582,0.25057975544481875
ours,e2,0.008325143823057112,0.0999425120302476,0.09124222609656733
ours,e3,0.06794251147114502,0.5014850422739983,0.2606578436785377
