method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,5.5549110639840364,0.0,0.5902485558763146,0.0,3926.666015625,0.0
ours,6.7313304343260825,0.0,0.8844529110938311,0.0,3726.24658203125,0.0
