method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,amazon_polarity,amazon_polarity,1,0.46875,0.0,0.7025648355484009,0.0
baseline,glue_sst2,glue/sst2,1,0.5625,0.0,0.681133970618248,0.0
baseline,yelp_polarity,yelp_polarity,1,0.5625,0.0,0.6822282448410988,0.0
ours,amazon_polarity,amazon_polarity,1,0.46875,0.0,0.7038036733865738,0.0
ours,glue_sst2,glue/sst2,1,0.5625,0.0,0.6883135810494423,0.0
ours,yelp_polarity,yelp_polarity,1,0.5625,0.0,0.6836736649274826,0.0
