method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.04960262875384502
baseline,e0,e2,0.059315368517199804
baseline,e0,e3,0.05301710763186546
baseline,e1,e0,0.04960262875384502
baseline,e1,e1,1.0
baseline,e1,e2,0.08192378770737697
baseline,e1,e3,0.06045295110204363
baseline,e2,e0,0.059315368517199804
baseline,e2,e1,0.08192378770737697
baseline,e2,e2,1.0
baseline,e2,e3,0.06279605667356473
baseline,e3,e0,0.05301710763186546
baseline,e3,e1,0.06045295110204363
baseline,e3,e2,0.06279605667356473
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.0769314609568574
ours,e0,e2,0.05385533521938939
ours,e0,e3,0.053193159135595
ours,e1,e0,0.0769314609568574
ours,e1,e1,1.0
ours,e1,e2,0.07871383247684761
ours,e1,e3,0.03655567985292278
ours,e2,e0,0.05385533521938939
ours,e2,e1,0.07871383247684761
ours,e2,e2,1.0
ours,e2,e3,0.06230443353279411
ours,e3,e0,0.053193159135595
ours,e3,e1,0.03655567985292278
ours,e3,e2,0.06230443353279411
ours,e3,e3,1.0
