method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_04_method_ours_lambda_align_021,coord:method.ours.lambda_align,2,0.8339350180505416,0.01083032490974728,0.8339350180505416,0.8339350180505416,2.3628385147388267e-05,1.5160116774146188,4.2333466349297045e-05,0.03963349773650037
ours,local_var_topk_017,local_var_topk,2,0.8285198555956679,0.0018050541516245744,0.8285198555956679,0.8285198555956679,4.725677e-05,1.816011677415,4.2333466e-05,0.03963349773650037
ours,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.8267148014440433,0.02166064981949456,0.8267148014440433,0.8267148014440433,0.001,1.5160116774146188,4.2333466349297045e-05,0.03963349773650037
ours,coord_03_train_grad_clip_019,coord:train.grad_clip,2,0.8249097472924187,0.01985559566787004,0.8249097472924187,0.8249097472924187,0.001,1.2514972774873965,4.2333466349297045e-05,0.03963349773650037
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.8231046931407942,0.0036101083032490933,0.8231046931407942,0.8231046931407942,0.001,1.8833819174013477,4.2333466349297045e-05,0.03963349773650037
ours,coord_03_train_grad_clip_012,coord:train.grad_clip,2,0.8212996389891697,0.009025270758122761,0.8212996389891697,0.8212996389891697,0.001,0.6534831993378258,4.2333466349297045e-05,0.03963349773650037
ours,coord_04_method_ours_lambda_align_002,coord:method.ours.lambda_align,2,0.8212996389891697,0.023465703971119134,0.8212996389891697,0.8212996389891697,0.0002878913241153341,1.5160116774146188,4.2333466349297045e-05,0.03963349773650037
ours,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.8194945848375451,0.010830324909747335,0.8194945848375451,0.8194945848375451,0.001,1.0,4.2333466349297045e-05,0.03963349773650037
ours,local_var_topk_014,local_var_topk,2,0.8194945848375451,0.014440433212996373,0.8194945848375451,0.8194945848375451,2.3628385e-05,1.816011677415,4.2333466e-05,0.03963349773650037
ours,coord_02_train_weight_decay_013,coord:train.weight_decay,2,0.8176895306859207,0.012635379061371854,0.8176895306859207,0.8176895306859207,0.001,1.0,4.2333466349297045e-05,0.047961469886517984
ours,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.8158844765342961,0.021660649819494615,0.8158844765342961,0.8158844765342961,0.001,1.0,4.2333466349297045e-05,0.0028208780978024373
ours,coord_04_method_ours_lambda_align_019,coord:method.ours.lambda_align,2,0.8140794223826715,0.023465703971119134,0.8140794223826715,0.8140794223826715,0.0008349754890412005,1.5160116774146188,4.2333466349297045e-05,0.03963349773650037
ours,coord_02_train_weight_decay_020,coord:train.weight_decay,2,0.8122743682310469,0.014440433212996373,0.8122743682310469,0.8122743682310469,0.001,1.0,4.2333466349297045e-05,0.04283921792436148
ours,coord_02_anchor,coord:train.weight_decay,2,0.8104693140794224,0.009025270758122761,0.8104693140794224,0.8104693140794224,0.001,1.0,4.2333466349297045e-05,0.01
