method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,595.757350505999,176.92376821546137,0.38443783100778817,0.11521273261948713,3361.566015625,0.7000000000000001
ours,587.9735251729959,175.6428217328506,0.3736380153019447,0.11191171269638034,2407.818359375,0.0
