method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8057526366251198,0.011657667615394576,0.5079325506499194,0.08149472776572211
baseline,glue_mrpc,glue/mrpc,5,0.8676470588235293,0.008904853982639687,0.37836885260733066,0.030982659732989262
baseline,glue_rte,glue/rte,5,0.68014440433213,0.07425247729780472,0.7423914599921555,0.09281532377199705
ours,glue_cola,glue/cola,5,0.8147651006711409,0.009184222446656216,0.4617372276631134,0.019114403353888348
ours,glue_mrpc,glue/mrpc,5,0.8588235294117649,0.021955093800547745,0.4250421724695365,0.05632032986997427
ours,glue_rte,glue/rte,5,0.6895306859205776,0.039546755054524645,0.6317107365897723,0.10925692100907508
