method,expert,score_var,score_mean,score_std
baseline,e0,0.037368191414327526,0.356448270380497,0.19330853942422596
baseline,e1,0.038248778061465497,0.2722548020072281,0.1955729481842146
baseline,e2,0.03821637733124364,0.20015976671129465,0.19549009522541963
baseline,e3,0.023242531562302084,0.30461898520588876,0.1524550148807906
ours,e0,0.012153802939531735,0.281928052008152,0.1102442875596361
ours,e1,0.01673777980753758,0.1434419970959425,0.1293745717192431
ours,e2,0.043740088023889,0.28117827682581265,0.20914131113648732
ours,e3,0.03355720223266589,0.383487512357533,0.18318625011901382
