method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8086289549376797,0.007850235662687898,0.45684318002455565,0.02629005838917246
baseline,glue_mrpc,glue/mrpc,5,0.8593137254901961,0.005502437333491118,0.4055348152477368,0.011220133671480894
baseline,glue_rte,glue/rte,5,0.7010830324909747,0.03547471045931625,0.6048617136691299,0.02493422200213693
ours,glue_cola,glue/cola,5,0.7996164908916586,0.019002092643278998,0.48624339027060126,0.0845616283291281
ours,glue_mrpc,glue/mrpc,5,0.8563725490196079,0.031025965487150288,0.4228267353548504,0.10394701600049477
ours,glue_rte,glue/rte,5,0.7061371841155235,0.05600207777520668,0.6249233231363551,0.06010548848384487
