method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,1547.8897911773995,62.22985503883686,0.6270893564907135,0.023273373747386156,3612.274609375,0.5511351921262151
ours,2853.8240137010116,34.49561586365966,2.299776138214534,0.02700381949366744,2894.58349609375,0.0
