method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.01777352143533592
baseline,e0,e2,0.009364075556220524
baseline,e0,e3,-0.030926949603470866
baseline,e1,e0,-0.01777352143533592
baseline,e1,e1,1.0
baseline,e1,e2,0.023484234305210384
baseline,e1,e3,0.03762517908345651
baseline,e2,e0,0.009364075556220524
baseline,e2,e1,0.023484234305210384
baseline,e2,e2,1.0
baseline,e2,e3,0.018022514261397893
baseline,e3,e0,-0.030926949603470866
baseline,e3,e1,0.03762517908345651
baseline,e3,e2,0.018022514261397893
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.03356620511943438
ours,e0,e2,0.046721486939042337
ours,e0,e3,0.018108658852855737
ours,e1,e0,0.03356620511943438
ours,e1,e1,1.0
ours,e1,e2,0.024839730576939775
ours,e1,e3,0.009343018413205452
ours,e2,e0,0.046721486939042337
ours,e2,e1,0.024839730576939775
ours,e2,e2,1.0
ours,e2,e3,0.02087683379307879
ours,e3,e0,0.018108658852855737
ours,e3,e1,0.009343018413205452
ours,e3,e2,0.02087683379307879
ours,e3,e3,1.0
