method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_03_anchor,coord:train.grad_clip,2,0.7923123545710571,0.006625015297798631,0.7923123545710571,0.7923123545710571,0.001,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_01_train_lr_006,coord:train.lr,2,0.7919469588421619,0.025593388070525802,0.7919469588421619,0.7919469588421619,0.001,1.0,4.2333466349297045e-05,0.0
ours,coord_02_train_weight_decay_003,coord:train.weight_decay,2,0.7890632853233275,0.012643392790659291,0.7890632853233275,0.7890632853233275,0.001,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_004,coord:method.ours.lambda_align,2,0.7868195958010153,6.517298783287329e-05,0.7868195958010153,0.7868195958010153,0.0003739085202872783,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.7859215826257153,0.03208631115089294,0.7859215826257153,0.7859215826257153,0.001,1.991165740762003,4.2333466349297045e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_000,coord:method.ours.lambda_align,2,0.7851088673122728,0.0361148454367195,0.7852855583383431,0.7849321762862025,0.0002085502774794116,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7848716269494743,0.02769827875903985,0.7848716269494743,0.7848716269494743,0.001,1.0,4.2333466349297045e-05,0.022941220984173272
ours,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.7847342761113499,0.02618232579295232,0.7847342761113499,0.7847342761113499,0.001,1.5160116774146188,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.7843377285606203,0.021040572961588677,0.7843377285606203,0.7843377285606203,0.001,1.0,4.2333466349297045e-05,0.04811190452922659
ours,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.7831156769894365,0.012956125299444565,0.7831156769894365,0.7831156769894365,0.001,1.0,4.2333466349297045e-05,0.03802613486924597
ours,local_var_topk_009,local_var_topk,2,0.7828938733086988,0.016489726903394397,0.7828938733086988,0.7828938733086988,0.00018695426,0.7,4.2333466e-05,0.041458676361109024
ours,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7828664492516944,0.021319568317233306,0.7828664492516944,0.7828664492516944,0.001,1.7645117906944783,4.2333466349297045e-05,0.041458676361109024
ours,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.7815688280689539,0.012979439551372762,0.7815688280689539,0.7815688280689539,0.001,0.7083602143821242,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.7804171191850642,0.011720711630100578,0.7804171191850642,0.7804171191850642,0.001,1.0,4.2333466349297045e-05,0.01569929631501374
ours,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.779225786980827,0.01729219545068378,0.7792874031291166,0.7791641708325372,0.001,0.6513832929507756,4.2333466349297045e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_005,coord:method.ours.lambda_align,2,0.7789959439354137,0.003945748137445915,0.7789959439354137,0.7789959439354137,2.4309853449390485e-05,1.0,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_014,local_var_topk,2,0.7772025388056629,0.0006926229432764885,0.7772025388056629,0.7772025388056629,0.000747817041,1.0,4.2333466e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_008,coord:method.ours.lambda_align,2,0.7771787727385351,0.006130473786646995,0.7771787727385351,0.7771787727385351,0.00013289491787351013,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_007,coord:method.ours.lambda_align,2,0.77710904547567,0.02397265281545874,0.77710904547567,0.77710904547567,0.00034819237895551436,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.7761620385793069,0.02911449718510145,0.7761620385793069,0.7761620385793069,0.001,1.0,4.2333466349297045e-05,0.0011293853537124698
ours,coord_04_method_ours_lambda_align_002,coord:method.ours.lambda_align,2,0.7758879174010953,0.024972583527567982,0.7758879174010953,0.7758879174010953,0.0002878913241153341,1.0,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_011,local_var_topk,2,0.7757818541696668,0.021475316958216972,0.7757818541696668,0.7757818541696668,0.000747817041,0.7,4.2333466e-05,0.041458676361109024
ours,local_var_topk_015,local_var_topk,2,0.7755683840136006,0.03800668947842378,0.7755683840136006,0.7755683840136006,0.00018695426,1.3,4.2333466e-05,0.041458676361109024
ours,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.7752288959039286,0.021252236712990147,0.7752288959039286,0.7752288959039286,0.001,1.0,4.2333466349297045e-05,0.0028208780978024373
ours,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.7747950565786815,0.009729021055289389,0.7747950565786815,0.7747950565786815,0.001,1.0,4.2333466349297045e-05,0.031129456560456282
ours,coord_01_train_lr_003,coord:train.lr,2,0.7746493615628496,0.002001670659963928,0.7746493615628496,0.7746493615628496,0.001,1.0,5.7311085087922365e-05,0.0
ours,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.7742959912339129,0.015772193241299692,0.7742959912339129,0.7742959912339129,0.001,1.0736942906332496,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7736425345616896,0.01749810161069887,0.7736425345616896,0.7736425345616896,0.001,1.0,4.2333466349297045e-05,0.03438558910465587
ours,local_var_topk_010,local_var_topk,2,0.7732032928727299,8.64813363239958e-05,0.7732032928727299,0.7732032928727299,0.00037390852,0.7,4.2333466e-05,0.041458676361109024
ours,coord_01_train_lr_010,coord:train.lr,2,0.7727968205256179,0.030710939509877633,0.7746599524512513,0.7709336885999845,0.001,1.0,2.521629284502662e-05,0.0
ours,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.7726878257732648,0.020450616653262033,0.7726878257732648,0.7726878257732648,0.001,1.2363744014086087,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_016,local_var_topk,2,0.7725658448338537,0.011359193868978268,0.7725658448338537,0.7725658448338537,0.00037390852,1.3,4.2333466e-05,0.041458676361109024
ours,local_var_topk_012,local_var_topk,2,0.7723081857580849,0.04092542878342548,0.7723081857580849,0.7723081857580849,0.00018695426,1.0,4.2333466e-05,0.041458676361109024
ours,coord_04_anchor,coord:method.ours.lambda_align,2,0.7711192075829344,0.03164811325515415,0.7722164584582367,0.7700219567076321,0.001,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_anchor,coord:train.weight_decay,2,0.7707928362791887,0.024226540813780117,0.7707928362791887,0.7707928362791887,0.001,1.0,4.2333466349297045e-05,0.0
ours,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.7705106291937225,0.012189670201270764,0.7708243763093288,0.7701968820781164,0.001,1.8035428423900308,4.2333466349297045e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_009,coord:method.ours.lambda_align,2,0.7696879714990916,0.025339933996141095,0.7696879714990916,0.7696879714990916,0.00027088063293043466,1.0,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_013,local_var_topk,2,0.7684027808819136,0.018747609441215174,0.7684027808819136,0.7684027808819136,0.00037390852,1.0,4.2333466e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_006,coord:method.ours.lambda_align,2,0.7680774642384582,0.013782872397858359,0.7680774642384582,0.7680774642384582,0.007734370951139792,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_010,coord:method.ours.lambda_align,2,0.7673783392754788,0.007537486462203646,0.7673783392754788,0.7673783392754788,2.8529473160537783e-05,1.0,4.2333466349297045e-05,0.041458676361109024
ours,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.7672526627735657,0.022511800065774024,0.7672526627735657,0.7672526627735657,0.001,1.0,4.2333466349297045e-05,0.025761370357300944
ours,local_var_topk_020,local_var_topk,2,0.7661800772956614,0.031118311080242878,0.7661800772956614,0.7661800772956614,0.000747817041,0.7,8.4666933e-05,0.041458676361109024
ours,local_var_topk_007,local_var_topk,2,0.7650478953780715,0.030019639177500557,0.7650478953780715,0.7650478953780715,0.00037390852,1.3,2.1166733e-05,0.041458676361109024
ours,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.7645534940589276,0.01493442677867568,0.7645534940589276,0.7645534940589276,0.001,0.8112607949285354,4.2333466349297045e-05,0.041458676361109024
ours,coord_01_train_lr_000,coord:train.lr,2,0.764518099585253,0.01928741586761823,0.764518099585253,0.764518099585253,0.001,1.0,2.166929842602531e-05,0.0
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.7640028317705267,0.015283102640572588,0.7640028317705267,0.7640028317705267,0.001,1.8833819174013477,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_001,local_var_topk,2,0.7639054128600138,0.010178946104894393,0.7639054128600138,0.7639054128600138,0.00037390852,0.7,2.1166733e-05,0.041458676361109024
ours,local_var_topk_000,local_var_topk,2,0.763716129181709,0.005788914084680352,0.763716129181709,0.763716129181709,0.00018695426,0.7,2.1166733e-05,0.041458676361109024
ours,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.7631756952623006,0.026771715675951047,0.7673230135260349,0.7590283769985661,0.001,1.0,4.2333466349297045e-05,0.03963349773650037
ours,local_var_topk_003,local_var_topk,2,0.7622278399318847,0.013332402953792843,0.7622278399318847,0.7622278399318847,0.00018695426,1.0,2.1166733e-05,0.041458676361109024
ours,local_var_topk_019,local_var_topk,2,0.7621952470801974,0.010917520447006501,0.7621952470801974,0.7621952470801974,0.00037390852,0.7,8.4666933e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_003,coord:method.ours.lambda_align,2,0.761773968632924,0.0259886493912036,0.7663689011227777,0.7571790361430704,0.0032649501008336626,1.0,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_006,local_var_topk,2,0.7613967710864871,0.023098510836699226,0.7613967710864871,0.7613967710864871,0.00018695426,1.3,2.1166733e-05,0.041458676361109024
ours,local_var_topk_008,local_var_topk,2,0.7613101056326235,0.03743448345321626,0.7613101056326235,0.7613101056326235,0.000747817041,1.3,2.1166733e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.7603506886790083,0.03348367712781458,0.7603506886790083,0.7603506886790083,0.0012346878339290972,1.0,4.2333466349297045e-05,0.041458676361109024
ours,local_var_topk_021,local_var_topk,2,0.7600496978783743,0.00761262046674116,0.7600496978783743,0.7600496978783743,0.00018695426,1.0,8.4666933e-05,0.041458676361109024
