method,expert,score_var,score_mean,score_std
baseline,e0,0.01537507482043932,0.20404631415149196,0.1239962693811363
baseline,e1,0.017306512914329008,0.19150049616582693,0.1315542204352601
baseline,e2,0.001502227394620525,0.10190604142844677,0.03875857833590552
baseline,e3,0.022098354623860138,0.2232019878923893,0.14865515337135185
baseline,e4,0.008713162811244759,0.1854397114715539,0.09334432393694198
baseline,e5,0.02343083920074574,0.20562820880440996,0.15307135329886432
ours,e0,0.005484065704205278,0.2047221504151821,0.0740544779483677
ours,e1,0.004367833103908747,0.24600417539477348,0.06608958392900312
ours,e2,0.0014359348578566779,0.2345406986773014,0.0378937311155378
ours,e3,0.004824178072536734,0.17090062461793423,0.06945630333192758
ours,e4,0.005953051830934575,0.18582739681005478,0.07715602264849176
ours,e5,0.014906943651304263,0.25223600044846534,0.1220939951484276
