method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,1192.5508849068078,56.03169607903226,0.5234198265164858,0.0509233956707493,3362.16953125,0.7000000000000001
ours,1205.0543007516185,33.43601417096203,0.7098164577758872,0.018081639204113212,2408.220703125,0.0
