method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.eps,method.ours.lambda_align
baseline,coord_03_anchor,coord:train.grad_clip,1,0.6045697198108118,0.0,0.6045697198108118,0.6045697198108118,1.0,2e-05,0.01,,,,
baseline,coord_02_anchor,coord:train.weight_decay,1,0.604250128887194,0.0,0.604250128887194,0.604250128887194,1.0,2e-05,0.01,,,,
baseline,coord_01_anchor,coord:train.lr,1,0.40441720829376343,0.0,0.40441720829376343,0.40441720829376343,1.0,2e-05,0.01,,,,
cagrad,coord_02_anchor,coord:method.baseline_cagrad.c,1,0.6102886740591777,0.0,0.6102886740591777,0.6102886740591777,,2e-05,,0.4,0.1,,
cagrad,coord_01_anchor,coord:train.lr,1,0.606337276832409,0.0,0.606337276832409,0.606337276832409,,2e-05,,0.4,0.1,,
cagrad,coord_03_anchor,coord:method.baseline_cagrad.inner_lr,1,0.6037527263467595,0.0,0.6037527263467595,0.6037527263467595,,2e-05,,0.4,0.1,,
ours,coord_03_anchor,coord:method.ours.eps,1,0.6074431084833485,0.0,0.6074431084833485,0.6074431084833485,,2e-05,,,,1e-08,0.001
ours,coord_01_anchor,coord:train.lr,1,0.6062037067389163,0.0,0.6062037067389163,0.6062037067389163,,2e-05,,,,1e-08,0.001
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.604250128887194,0.0,0.604250128887194,0.604250128887194,,2e-05,,,,1e-08,0.001
