method,seed,step,router_entropy
ours,2,400.0,
ours,3,400.0,
ours,5,400.0,
baseline_avg,2,400.0,
baseline_avg,3,400.0,
baseline_avg,5,400.0,
baseline_cagrad,2,400.0,
baseline_cagrad,3,400.0,
baseline_cagrad,5,400.0,
