step,train_step_loss,train_acc,train_loss,val_acc,val_loss
30.0,0.5547858824332557,0.6555943214968742,0.6182578488751225,0.6594561071264614,0.6172339030520999
60.0,0.5411070038874944,0.6607565124630385,0.6083953976581055,0.6708943295131959,0.6114275219681893
90.0,0.7295006811618806,0.6801796436010186,0.570843282410678,0.6578986669413968,0.5889841147025175
120.0,0.7505503743886949,0.6854282111788921,0.559248386966292,0.6715335113604315,0.5666508021377653
150.0,0.612623247007529,0.6799672262005044,0.5500036624253126,0.6626318708457224,0.5650110349479783
180.0,0.4877529169122378,0.6984133699704268,0.5512832178925494,0.6927512934926271,0.5615902016084705
210.0,0.51091122875611,0.7092326561026187,0.5431319217000836,0.7224392531223233,0.5448974762124816
240.0,0.4838178344070912,0.7268705697579643,0.512507182438435,0.7164502290469487,0.5179348504854387
270.0,0.456709872931242,0.7214754762599666,0.5197659063246881,0.7163076042166274,0.5333463309751147
300.0,0.4377257277568182,0.7544700889166897,0.4797718507008,0.753250308353096,0.48935395816315513
330.0,0.5809918989737829,0.7550504799176864,0.4841737655612868,0.7446025850555374,0.5031071253237044
360.0,0.43903933465480816,0.7651664691778018,0.46517845298459964,0.7612260129501852,0.48216655046446905
390.0,0.44129080573717755,0.7857042982051792,0.4500090260173503,0.7641526978828748,0.48249604435463694
400.0,0.8978949189186096,0.7568907169217448,0.49248487567556803,0.7328351853748388,0.5414964343821139
