method,expert,purity_mean,purity_std
baseline,e0,0.5584912896156311,0.3375424009561374
baseline,e1,0.8322997093200684,0.191545806241983
baseline,e2,0.6796378135681153,0.24600446977772455
baseline,e3,0.5845739960670471,0.3805371258422944
ours,e0,0.7562506198883057,0.19479827369953617
ours,e1,0.6342876076698303,0.06926427045952649
ours,e2,0.6104940533638,0.3371346927931669
ours,e3,0.6920068085193634,0.1756643028832916
