method,expert,score_var,score_mean,score_std
baseline,e0,0.038891096624050644,0.345395607915998,0.1972082569875071
baseline,e1,0.03781226279755835,0.28221699348650875,0.19445375490732586
baseline,e2,0.0384427006005776,0.38013210156932475,0.19606810194566987
baseline,e3,0.01318228536086299,0.1270114328712225,0.11481413397688889
ours,e0,0.015608957317507785,0.20221418412402273,0.12493581279003946
ours,e1,0.019999671720331933,0.29662521705031397,0.14142019558864968
ours,e2,0.022076559931758534,0.34836202412843703,0.14858182907663553
ours,e3,0.01287105871893699,0.2881504185497761,0.11345068849036126
