method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,2177.274943240371,190.4507433053128,0.5741180537173408,0.040536712075361005,3361.566015625,0.7000000000000001
ours,2124.851715553808,120.85183506140913,0.7884722883269074,0.05732902697573088,2407.818359375,0.0
