method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,local_textcls_amazon_polarity,local_textcls/amazon_polarity,5,0.9431,0.005857900647843052,0.1722460635005147,0.013057615878913992
baseline,local_textcls_glue_sst2,local_textcls/glue_sst2,5,0.9119266055045872,0.018080029518363648,0.26858166893837343,0.03830198697627518
baseline,local_textcls_yelp_polarity,local_textcls/yelp_polarity,5,0.9398500000000001,0.009108512502049942,0.1702412144558679,0.01610986782898089
ours,local_textcls_amazon_polarity,local_textcls/amazon_polarity,5,0.9459500000000001,0.0019583156027565885,0.17062002977399388,0.013234006717370048
ours,local_textcls_glue_sst2,local_textcls/glue_sst2,5,0.9176605504587156,0.00952318325322326,0.25265900386217555,0.046357147861799154
ours,local_textcls_yelp_polarity,local_textcls/yelp_polarity,5,0.9419500000000001,0.0042438190347845635,0.1720907239197695,0.016870736831286388
