method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_var_topk_009,0.6958473625140291,0.012846721180054477,0.5,1.2632687e-05,0.005460976079,,,,
cagrad,cagrad,baseline_cagrad,coord_04_method_baseline_cagrad_c_004,0.7145963604296939,0.00582210998877658,1.4235623362774221,2.5551784142791192e-05,0.02446709884391641,0.9858059559217683,0.1,,
ours,ours,ours,coord_02_train_weight_decay_004,0.6993446368446369,0.007846320346320379,1.0,2e-05,0.012627914022778375,,,0.001,true
