step,train_step_loss,train_acc,train_loss,val_acc,val_loss,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
30.0,0.5936552782853445,0.6471874280123803,0.6287758795229209,0.6494266230709084,0.6335475347315737,0.6785044214791722,0.5311087965965271,0.1705983728170395,0.2920020818710327,0.006291059777140617
60.0,0.5561258643865585,0.6728430940302875,0.6195551227819798,0.6693490914484984,0.62271577242753,0.677912106944455,0.45479243993759155,0.11318159848451614,0.4002109467983246,0.031814899295568466
90.0,0.7071348664661249,0.7191361539792166,0.6465888194708872,0.6957922004521689,0.6811192664657727,0.666998856873424,0.48792320489883423,0.20523835718631744,0.25123530626296997,0.05560323968529701
120.0,0.7624785664180914,0.7336110812938353,0.5435625643538615,0.7208357050409467,0.573184142332574,0.6683990679405354,0.4885181188583374,0.22390586137771606,0.2548700273036957,0.032706014811992645
150.0,0.5054737627506256,0.781049113161472,0.47344283526807973,0.7651814511572566,0.4999159838484945,0.669863082744457,0.44479063153266907,0.187649667263031,0.30074360966682434,0.06681596487760544
180.0,0.7203474442164103,0.7777670554493717,0.4739705616393349,0.7545110150279674,0.5120945252410256,0.6747806522029417,0.4771595597267151,0.21852505207061768,0.21420811116695404,0.09010731428861618
210.0,0.4512801555295785,0.818694680719157,0.42470238215035755,0.790957821033743,0.4611170109106961,0.6648850803849874,0.46206966042518616,0.16083881258964539,0.23575258255004883,0.14133882522583008
240.0,0.42260436962048215,0.8367160260521437,0.3921295054782214,0.812269365785872,0.4325570075645658,0.6652554723399656,0.43387570977211,0.11312564462423325,0.27159905433654785,0.1813996583223343
270.0,0.2873309194110334,0.848465952295221,0.37825345768600344,0.8192060237787682,0.43842568963729933,0.6545813503088774,0.48386046290397644,0.19596587121486664,0.13548994064331055,0.18468350172042847
300.0,0.4601020912329356,0.8423866800909444,0.3800286702335265,0.8027841896173422,0.4360488253190476,0.6655003152511738,0.46653011441230774,0.15131530165672302,0.13495565950870514,0.24719896912574768
330.0,0.23228758946061134,0.8588429225105921,0.34722218219632284,0.8192847932023665,0.41912845728458353,0.675400095405402,0.35278114676475525,0.2906806766986847,0.10624857991933823,0.2502894997596741
360.0,0.39866583701223135,0.8738278891788438,0.3388943525852703,0.8270744769693307,0.4462368437789106,0.6614491219321886,0.4051494300365448,0.3791967034339905,0.05288087949156761,0.16277311742305756
390.0,0.39458327864607173,0.8670714746690624,0.33855988410313426,0.8175225157540544,0.44686588716242054,0.6735897400864849,0.3413468897342682,0.4883219301700592,0.01616402342915535,0.154167041182518
420.0,0.5256031602621078,0.882087772375202,0.29912021517261717,0.8218602889511873,0.40636188931271006,0.6596103259534748,0.3751252591609955,0.4578052759170532,0.025018882006406784,0.14205072820186615
450.0,0.4789309824506442,0.8530703208579035,0.3336191473236109,0.7902027261126147,0.4655280246179578,0.6642108687924014,0.3527206778526306,0.4610380530357361,0.020579036325216293,0.16566209495067596
480.0,0.42260366181532544,0.8848001292248066,0.2980651485622334,0.8225917290086145,0.4393824753427003,0.6553466882970598,0.3733671307563782,0.39652732014656067,0.05293602496385574,0.17716966569423676
510.0,0.19076046471794447,0.9038371066620626,0.26287262082639956,0.8144098099912398,0.4216911410446178,0.6627138348089324,0.43927377462387085,0.39790934324264526,0.024185439571738243,0.13863132894039154
540.0,0.09428907620410125,0.9175487985030609,0.23221158173082837,0.8482615063647957,0.3844916888883731,0.6660664425128036,0.4233018457889557,0.4168199896812439,0.014169818721711636,0.1457081437110901
570.0,0.624468207359314,0.8914201051028853,0.2752460226231642,0.8150674943815952,0.43067576421654014,0.6680588949885633,0.4216412901878357,0.39920884370803833,0.029383325949311256,0.14976631104946136
600.0,0.2129986813912789,0.9178338600765246,0.24599332078429584,0.8393331540936585,0.4618478752205292,0.6624482156777823,0.4191747307777405,0.43758338689804077,0.015407353639602661,0.12783443927764893
