method,expert,score_var,score_mean,score_std
ours,e0,0.003854083585291984,0.23430008937915167,0.06208126597687892
ours,e1,0.01381091737847463,0.26232065508763,0.11751985950670053
ours,e2,0.014099741521881537,0.41653047502040863,0.11874233247617101
ours,e3,0.006807357873179358,0.33751846104860306,0.08250671410969751
baseline_avg,e0,0.00042426334573975353,0.09458264087637265,0.020597653889211594
baseline_avg,e1,0.009893381849172692,0.41194162517786026,0.09946548069140716
baseline_avg,e2,0.06556665178935041,0.31200311371746164,0.2560598597776512
baseline_avg,e3,0.01648808140286252,0.3478781556089719,0.12840592432930234
baseline_cagrad,e0,0.03738453414614428,0.2302828871179372,0.1933508059102529
baseline_cagrad,e1,0.028969975387213825,0.33071144297719,0.1702056855314
baseline_cagrad,e2,0.029322694680432804,0.3429117202758789,0.1712387067237802
baseline_cagrad,e3,0.025493282424200805,0.3665524770816167,0.15966615929557773
