method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.eps,method.ours.lambda_align
baseline,coord_02_anchor,coord:train.weight_decay,1,0.6287168506989612,0.0,0.6287168506989612,0.6287168506989612,1.0,2e-05,0.01,,,,
baseline,coord_03_anchor,coord:train.grad_clip,1,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.0,2e-05,0.01,,,,
baseline,coord_01_anchor,coord:train.lr,1,0.5241429881056842,0.0,0.5241429881056842,0.5241429881056842,1.0,2e-05,0.01,,,,
cagrad,coord_02_anchor,coord:method.baseline_cagrad.c,1,0.6152184579401988,0.0,0.6152184579401988,0.6152184579401988,,2e-05,,0.4,0.1,,
cagrad,coord_01_anchor,coord:train.lr,1,0.6150488555366905,0.0,0.6150488555366905,0.6150488555366905,,2e-05,,0.4,0.1,,
cagrad,coord_03_anchor,coord:method.baseline_cagrad.inner_lr,1,0.43864075969027083,0.0,0.43864075969027083,0.43864075969027083,,2e-05,,0.4,0.1,,
ours,coord_01_anchor,coord:train.lr,1,0.6146932323030571,0.0,0.6146932323030571,0.6146932323030571,,2e-05,,,,1e-08,0.001
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.613556647915387,0.0,0.613556647915387,0.613556647915387,,2e-05,,,,1e-08,0.001
ours,coord_03_anchor,coord:method.ours.eps,1,0.43815703257372857,0.0,0.43815703257372857,0.43815703257372857,,2e-05,,,,1e-08,0.001
