method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.eps,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_02_anchor,0.6287168506989612,0.0,1.0,2e-05,0.01,,,,,
cagrad,cagrad,baseline_cagrad,coord_02_anchor,0.6152184579401988,0.0,,2e-05,,0.4,0.1,,,
ours,ours,ours,coord_01_anchor,0.6146932323030571,0.0,,2e-05,,,,1e-08,0.001,true
