method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.68317068365904,0.4049961566925049,0.18701684474945068,0.15387021005153656,0.25411686301231384
baseline,3,1000.0,0.6829806153590863,0.3030019700527191,0.009217606857419014,0.1482582986354828,0.5395222306251526
baseline,5,1000.0,0.598499464897009,0.02351457066833973,0.22759096324443817,0.7040054202079773,0.044888827949762344
baseline,7,1000.0,0.68302532351934,0.26124897599220276,0.004208095371723175,0.35376492142677307,0.38077792525291443
baseline,11,1000.0,0.6621279877882738,0.4148554801940918,0.12203214317560196,0.4337208867073059,0.029391523450613022
cagrad,2,1000.0,0.6787698064400599,0.29987406730651855,0.037909384816884995,0.39370667934417725,0.2685098648071289
cagrad,3,1000.0,0.6820226179636442,0.20485854148864746,0.24900560081005096,0.36194664239883423,0.18418928980827332
cagrad,5,1000.0,0.6685996261009803,0.48847106099128723,0.12629464268684387,0.1795191615819931,0.2057150900363922
cagrad,7,1000.0,0.6737287844144381,0.49832969903945923,0.047721751034259796,0.12463527917861938,0.3293134570121765
cagrad,11,1000.0,0.6760346387899839,0.034653495997190475,0.5683184862136841,0.28325948119163513,0.11376846581697464
ours,2,1000.0,0.6225933361970462,0.19115190207958221,0.4019700288772583,0.2519552707672119,0.15492285788059235
ours,3,1000.0,0.5992150517610403,0.29661044478416443,0.12098868936300278,0.43619680404663086,0.14620427787303925
ours,5,1000.0,0.6546446408675267,0.2607540488243103,0.15779030323028564,0.19620934128761292,0.3852463960647583
ours,7,1000.0,0.6421200427642235,0.10166198760271072,0.3200339376926422,0.3528181314468384,0.22548586130142212
ours,11,1000.0,0.6311689626712066,0.10877738147974014,0.10302510112524033,0.3857581317424774,0.40243953466415405
