method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,1259.9411448596045,315.02963747544607,0.8988290418235818,0.22786026670577184,3837.2421875,0.0
cagrad,4407.581309178402,694.3618278092418,4.16889076228831,0.6531212471954131,3844.248046875,0.0
ours,1302.1356517930049,328.31083952394005,0.9179245886455523,0.22819275387315768,2409.345703125,0.0
