method,expert,score_var,score_mean,score_std
baseline,e0,0.022476907858334665,0.3162742810323834,0.14992300643441842
baseline,e1,0.01009721653328729,0.1334292959421873,0.10048490699247967
baseline,e2,0.041335087213303826,0.3674026861786842,0.2033103224465099
baseline,e3,0.038152801489166846,0.2770709730684757,0.19532742124229985
cagrad,e0,0.02465271902554709,0.3603503633290529,0.15701184358368347
cagrad,e1,0.025521402544751458,0.27064025290310384,0.15975419413821804
cagrad,e2,0.005719127315310448,0.3203862428665161,0.07562491200200135
cagrad,e3,0.0029272013975806385,0.24029004499316214,0.05410361723194336
ours,e0,0.005443820610471991,0.28450931161642073,0.07378225132423102
ours,e1,0.009396879399219533,0.26238972693681717,0.09693750254271838
ours,e2,0.009801548071977119,0.34747864603996276,0.09900276800159236
ours,e3,0.007843240826063722,0.31504218131303785,0.0885620732936155
