method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8193672099712368,0.013594302492629813,0.6046130850097209,0.08189890937878071
baseline,glue_mrpc,glue/mrpc,5,0.8740196078431373,0.0055024373334910705,0.5845932857739218,0.06961154082122532
baseline,glue_rte,glue/rte,5,0.7350180505415163,0.017177440077069027,1.2118963932042888,0.03518659191982662
baseline,glue_sst2,glue/sst2,5,0.9286697247706421,0.00629794964116787,0.2056744573018347,0.01563292525597301
cagrad,glue_cola,glue/cola,5,0.8224352828379674,0.012536114384415075,0.6234665738962898,0.04884982320751514
cagrad,glue_mrpc,glue/mrpc,5,0.8632352941176471,0.016064676086445028,0.6160916756635674,0.04722501076974166
cagrad,glue_rte,glue/rte,5,0.6830324909747292,0.05964440845650076,1.492249226757749,0.26545485834096577
cagrad,glue_sst2,glue/sst2,5,0.9201834862385321,0.0031280233249967445,0.23371702676418601,0.021307896484254202
ours,glue_cola,glue/cola,5,0.8329817833173537,0.005765406089500645,0.5682145696218506,0.0374227321050562
ours,glue_mrpc,glue/mrpc,5,0.8598039215686274,0.012820291010413746,0.6048432926142898,0.05628954658751241
ours,glue_rte,glue/rte,5,0.7090252707581227,0.032738726494598226,1.3835071678418744,0.14658211021996706
ours,glue_sst2,glue/sst2,5,0.9201834862385322,0.010500479947027162,0.22592895788714357,0.03542408964331124
