method,expert,purity_mean,purity_std
baseline,e0,0.5176661908626556,0.2438700302935537
baseline,e1,0.4872434914112091,0.31771452376204024
baseline,e2,0.5178932964801788,0.15060075159436548
baseline,e3,0.4823968172073364,0.1202789504708399
cagrad,e0,0.4327303469181061,0.14720468344868579
cagrad,e1,0.5767080605030059,0.1916175779164835
cagrad,e2,0.47755048871040345,0.04528355850672406
cagrad,e3,0.5776769042015075,0.04462474165363852
ours,e0,0.5457248032093048,0.11086509352439773
ours,e1,0.5663824498653411,0.09793333370259927
ours,e2,0.5310345470905304,0.03772151485951262
ours,e3,0.4637236475944519,0.14080269185073646
