method,val_acc_mean,val_acc_std,overall_task_conflict_cos_mean,overall_task_conflict_cos_std,avg_intra_expert_coherence_mean,avg_intra_expert_coherence_std,expert_purity_mean_mean,expert_purity_mean_std,expert_diversity_mean_mean,expert_diversity_mean_std,load_cv_mean,load_cv_std,load_max_min_ratio_mean,load_max_min_ratio_std,utilization_ratio_mean,utilization_ratio_std,router_entropy_mean,router_entropy_std,inter_expert_similarity_mean,inter_expert_similarity_std,task_grad_norm_cv_mean,task_grad_norm_cv_std
baseline,0.8392686482816331,0.006663401105127066,0.04465654960247546,0.02968090899134295,0.1710772338129098,0.06692282706076201,0.501299948990345,0.08675724052922001,0.6950916022651434,0.07601929287426094,0.7146514907960756,0.2335366363723153,39.269309355600704,31.700162987488877,0.7,0.18708286933869706,0.6619608150445498,0.032749885369162596,0.04075435079260078,0.07991975415565097,0.6182507726181212,0.18176095718965155
cagrad,0.822221638542219,0.011851421096392343,0.050647969565982276,0.0370323401695452,0.10111472588305073,0.11141778380244494,0.5161664500832558,0.043159657102027564,0.7494927844679029,0.04379124802829254,0.5769865365348328,0.18391584633266422,8.612138446331345,5.1737579147302135,0.75,0.22360679774997896,0.6758310947418213,0.004554695683519747,0.03645570208972005,0.09782380353770337,0.571243947721326,0.06611831495545463
ours,0.8304986154706591,0.01028015888079339,0.020483134830007296,0.019442821093917168,0.18020734752408854,0.11560449054896396,0.5267163619399071,0.038875505370541,0.7800280826170255,0.022364923294594122,0.439370389095759,0.08786799899886016,3.203630863513351,0.5792872675390168,0.8,0.18708286933869706,0.6299484068522087,0.018751952598721925,0.11645405292469406,0.15069380504787333,0.5032820154407112,0.10869805863731583
