method,expert,score_var,score_mean,score_std
baseline,e0,0.013526550985067462,0.38451520204544065,0.1163037015106031
baseline,e1,0.010347493553620144,0.24724384900182486,0.10172263048909098
baseline,e2,0.05244374456287557,0.3748188636265695,0.22900599241695746
baseline,e3,0.024083509965999637,0.24674132820218803,0.1551886270510814
cagrad,e0,0.02892329955042223,0.2022420724038966,0.17006851428298606
cagrad,e1,0.04295160165081638,0.2932408391265199,0.2072476818949162
cagrad,e2,0.03833124177356699,0.27741971004288646,0.19578366063991906
cagrad,e3,0.032670413048245486,0.44659644812345506,0.18074958657835288
ours,e0,0.007181858165991049,0.334699684381485,0.0847458445352399
ours,e1,0.007430088238759539,0.36507936120033263,0.08619795959742631
ours,e2,0.025657462074981152,0.3015132575295866,0.16017946833155974
ours,e3,0.004066779069225221,0.3069948576390743,0.06377130286598527
