method,expert,purity_mean,purity_std
baseline,e0,0.8634037613868714,0.170265109068369
baseline,e1,0.5188506126403809,0.0967543465294143
baseline,e2,0.4817570924758911,0.26445328937393336
baseline,e3,0.2828612387180328,0.23270347277202594
ours,e0,0.6089039385318756,0.14414918317005254
ours,e1,0.6604167342185974,0.2054342225447689
ours,e2,0.4860507190227509,0.3130774467497743
ours,e3,0.5722491264343261,0.10399085455488379
