method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.46224462830772,0.005284685641527176,0.06974467635154724,0.18286500871181488,0.7421053647994995
baseline,3,1000.0,0.6028695076841999,0.0014178156852722168,0.6900194883346558,0.0,0.3085627257823944
baseline,5,1000.0,0.5996220800335761,0.41337916254997253,0.16492809355258942,0.421692818403244,0.0
baseline,7,1000.0,0.4347931267693639,0.026196446269750595,0.7737600803375244,0.046317797154188156,0.15372580289840698
baseline,11,1000.0,0.5129946062893227,0.010032438673079014,0.7177266478538513,0.27208295464515686,0.00015804807480890304
ours,2,1000.0,0.6309108182925869,0.11170586943626404,0.08084134012460709,0.6271166205406189,0.18033602833747864
ours,3,1000.0,0.4272751989601939,0.7872605323791504,0.06831242144107819,0.0,0.14442694187164307
ours,5,1000.0,0.6503836608457344,0.48921501636505127,0.09780530631542206,0.3081735670566559,0.10480596125125885
ours,7,1000.0,0.5778769635146966,0.023019688203930855,0.22630198299884796,0.7135369181632996,0.03714107722043991
ours,11,1000.0,0.5059922781807406,0.0157090462744236,0.1576417088508606,0.16091425716876984,0.6657353639602661
