method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,-0.0217169358270048
baseline,glue/rte,glue/cola,0.08037720252989272
baseline,glue/mrpc,glue/rte,-0.0217169358270048
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.07023914358075099
baseline,glue/cola,glue/rte,0.08037720252989272
baseline,glue/cola,glue/mrpc,0.07023914358075099
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.04983644868775569
ours,glue/rte,glue/cola,0.06220700742333812
ours,glue/mrpc,glue/rte,-0.04983644868775569
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.08931191683353326
ours,glue/cola,glue/rte,0.06220700742333812
ours,glue/cola,glue/mrpc,0.08931191683353326
ours,glue/cola,glue/cola,1.0
