method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,1,0.4314477468839885,0.0,0.7738837897777557,0.0
baseline,glue_mrpc,glue/mrpc,1,0.678921568627451,0.0,0.6466852210316003,0.0
baseline,glue_rte,glue/rte,1,0.49458483754512633,0.0,0.7483449623414448,0.0
cagrad,glue_cola,glue/cola,1,0.3096836049856184,0.0,2.9104618345963136,0.0
cagrad,glue_mrpc,glue/mrpc,1,0.3480392156862745,0.0,1.2111178531366236,0.0
cagrad,glue_rte,glue/rte,1,0.5270758122743683,0.0,1.584974721087409,0.0
ours,glue_cola,glue/cola,1,0.3192713326941515,0.0,0.7285942924386672,0.0
ours,glue_mrpc,glue/mrpc,1,0.4681372549019608,0.0,0.8828342954317728,0.0
ours,glue_rte,glue/rte,1,0.5379061371841155,0.0,0.6908485071999686,0.0
