method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,113.82614110503346,0.0,0.7383136935532093,0.0,7098.4609375,0.0
cagrad,119.26331528509036,0.0,6.300946970935911,0.0,7098.4609375,0.0
ours,113.90194491716102,0.0,0.8571566268801689,0.0,7048.77001953125,0.0
