method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,-0.08623975943123344
baseline,glue/rte,glue/cola,0.07790055453030276
baseline,glue/mrpc,glue/rte,-0.08623975943123344
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.10245058072685595
baseline,glue/cola,glue/rte,0.07790055453030276
baseline,glue/cola,glue/mrpc,0.10245058072685595
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.0011416254206457143
ours,glue/rte,glue/cola,0.026319354689330332
ours,glue/mrpc,glue/rte,-0.0011416254206457143
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.09871015037471711
ours,glue/cola,glue/rte,0.026319354689330332
ours,glue/cola,glue/mrpc,0.09871015037471711
ours,glue/cola,glue/cola,1.0
