method,expert,purity_mean,purity_std
baseline,e0,0.46184307932853697,0.2460256929196574
baseline,e1,0.4351798415184021,0.22690265042366098
baseline,e2,0.712131929397583,0.16239855999386987
baseline,e3,0.5398232340812683,0.05902047691796841
baseline,e4,0.43785216212272643,0.22506757340347208
baseline,e5,0.734325110912323,0.2255083857778547
ours,e0,0.6377195119857788,0.15110357731016455
ours,e1,0.5635215818881989,0.124041213744231
ours,e2,0.5967420935630798,0.14680613964886527
ours,e3,0.629233717918396,0.16861619449597284
ours,e4,0.7571378707885742,0.17796834557509653
ours,e5,0.6019436120986938,0.18455494771014613
