method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,router_load_e4,router_load_e5
baseline,2,1000.0,1.092489198954017,0.35362154245376587,0.2245955765247345,0.03204219043254852,0.08975424617528915,0.11214090883731842,0.18784549832344055
baseline,3,1000.0,1.065573498537695,0.10161425173282623,0.13259102404117584,0.07270105928182602,0.44106554985046387,0.21039056777954102,0.04163791611790657
baseline,5,1000.0,1.0753804443886987,0.00153985561337322,0.3993838131427765,0.155475452542305,0.11811786890029907,0.0011810021242126822,0.3243018686771393
baseline,7,1000.0,1.0880753599383213,0.2780509293079376,0.09377778321504593,0.0475817508995533,0.32862943410873413,0.2506840229034424,0.0012760813115164638
baseline,11,1000.0,1.0813076468529526,0.19347558915615082,0.007425811607390642,0.0987432673573494,0.05824251472949982,0.23543371260166168,0.4066790044307709
ours,2,1000.0,1.0691307438882414,0.2952049672603607,0.19008827209472656,0.16659286618232727,0.09484820067882538,0.15194641053676605,0.10131916403770447
ours,3,1000.0,1.0533363886039566,0.15471144020557404,0.13670574128627777,0.08977483958005905,0.20923417806625366,0.27342259883880615,0.13615114986896515
ours,5,1000.0,1.0797109773589506,0.07548730820417404,0.3115512430667877,0.15478503704071045,0.1460943967103958,0.07685539126396179,0.23522645235061646
ours,7,1000.0,1.0835565012638215,0.1419881135225296,0.2744658887386322,0.19780601561069489,0.043689604848623276,0.12854978442192078,0.2135004699230194
ours,11,1000.0,0.9232476285348336,0.0726676657795906,0.07971139997243881,0.17327295243740082,0.16445888578891754,0.06635329127311707,0.44353583455085754
