method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.3679553154968227
baseline,e0,e2,-0.10949396041613574
baseline,e0,e3,0.26878422949507774
baseline,e1,e0,-0.3679553154968227
baseline,e1,e1,1.0
baseline,e1,e2,-0.5194892419234911
baseline,e1,e3,-0.14451728639734637
baseline,e2,e0,-0.10949396041613574
baseline,e2,e1,-0.5194892419234911
baseline,e2,e2,1.0
baseline,e2,e3,0.10864423000289444
baseline,e3,e0,0.26878422949507774
baseline,e3,e1,-0.14451728639734637
baseline,e3,e2,0.10864423000289444
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.052352806251830405
ours,e0,e2,-0.14538020683469327
ours,e0,e3,0.16320361692396937
ours,e1,e0,0.052352806251830405
ours,e1,e1,1.0
ours,e1,e2,0.04696479053556243
ours,e1,e3,0.3064944647161373
ours,e2,e0,-0.14538020683469327
ours,e2,e1,0.04696479053556243
ours,e2,e2,1.0
ours,e2,e3,-0.21688417352844358
ours,e3,e0,0.16320361692396937
ours,e3,e1,0.3064944647161373
ours,e3,e2,-0.21688417352844358
ours,e3,e3,1.0
